AU	DE	ID	C1	JI	RP	DI	BE	BN	SN	SO	LA	TC	PN	PP	PU	DB	TI	DT	VL	PY	J9	CR	AU_UN	AU1_UN	AU_UN_NR	SR_FULL	SR
SALMAN S;AL-JANABI S;SAGHEER A	BLOCKCHAIN; BLOCKCHAIN E-VOTING; E-VOTING SYSTEM; SECURITY	NA	ALIRAQIA UNIVERSITY, BAGHDAD, IRAQ; UNIVERSITY OF ANBAR, RAMADI, IRAQ; AL-QALAM UNIVERSITY COLLEGE, KIRKUK, IRAQ	INT. J. INTERACT. MOB. TECHNOL.	S.A.-B. SALMAN; ALIRAQIA UNIVERSITY, BAGHDAD, IRAQ; EMAIL: SAB19C1004@UOANBAR.EDU.IQ	10.3991/ijim.v16i20.33173	NA	NA	18657923	INTERNATIONAL JOURNAL OF INTERACTIVE MOBILE TECHNOLOGIES	ENGLISH	3	20	79 – 97	INTERNATIONAL ASSOCIATION OF ONLINE ENGINEERING	ISI	VALID BLOCKCHAINBASED EVOTING USING ELLIPTIC CURVE AND HOMOMORPHIC ENCRYPTION	ARTICLE	16	2022	INT J INTERACT MOB TECHNOL	none	ALIRAQIA UNIVERSITY;UNIVERSITY OF ANBAR;AL-QALAM UNIVERSITY COLLEGE	NOTREPORTED;ALIRAQIA UNIVERSITY;NOTREPORTED	NA	SALMAN SAB, 2022, INT J INTERACT MOB TECHNOL	SALMAN SAB, 2022, INT J INTERACT MOB TECHNOL
FAROOQ M;IFTIKHAR U;KHELIFI A	BLOCKCHAIN; BLOCKCHAIN APPLICATION; BLOCKCHAIN VOTING; CRYPTOGRAPHIC HASH; E-POLLING; E-VOTING; ELECTORAL SYSTEM; SECURE VOTING; VOTING SYSTEM	CRYPTOGRAPHY; DATA PRIVACY; NETWORK SECURITY; PEER TO PEER NETWORKS; TRANSPARENCY; BLOCK-CHAIN; BLOCKCHAIN APPLICATION; BLOCKCHAIN VOTING; CONSENSUS ALGORITHMS; CRYPTOGRAPHIC HASH; CRYPTOGRAPHICS; E-POLLING; E-VOTING; ELECTORAL SYSTEMS; LICENSE; PEER-TO-PEER COMPUTING; PRIVACY; ROBUSTNESS; SECURE VOTING; VOTING SYSTEMS; SMART CONTRACT	UNIVERSITY OF MANAGEMENT AND TECHNOLOGY, DEPARTMENT OF COMPUTER SCIENCE, LAHORE, 54000, PAKISTAN; UNIVERSITY OF MANAGEMENT AND TECHNOLOGY, DEPARTMENT OF SOFTWARE ENGINEERING, LAHORE, 54000, PAKISTAN; ABU DHABI UNIVERSITY, DEPARTMENT OF COMPUTER SCIENCE AND INFORMATION TECHNOLOGY, ABU DHABI, UNITED ARAB EMIRATES	IEEE ACCESS	M.S. FAROOQ; UNIVERSITY OF MANAGEMENT AND TECHNOLOGY, DEPARTMENT OF COMPUTER SCIENCE, LAHORE, 54000, PAKISTAN; EMAIL: SHOAIB.FAROOQ@UMT.EDU.PK	10.1109/ACCESS.2022.3180168	NA	NA	21693536	IEEE ACCESS	ENGLISH	12	NA	59959 – 59969	INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.	ISI	A FRAMEWORK TO MAKE VOTING SYSTEM TRANSPARENT USING BLOCKCHAIN TECHNOLOGY	ARTICLE	10	2022	IEEE ACCESS	none	UNIVERSITY OF MANAGEMENT AND TECHNOLOGY;UNIVERSITY OF MANAGEMENT AND TECHNOLOGY;ABU DHABI UNIVERSITY	NOTREPORTED;UNIVERSITY OF MANAGEMENT AND TECHNOLOGY;NOTREPORTED	NA	FAROOQ MS, 2022, IEEE ACCESS	FAROOQ MS, 2022, IEEE ACCESS
RAKSHITHA C;HIREMANI N;NATARAJ K	E-VOTING; HYBRID SECURE ALGORITHMS; IMMUTABILITY; OPTIMAL BLOCKCHAIN	NA	DEPARTMENT OF COMPUTER SCIENCE & ENGINEERING, VISVESVARAYA TECHNOLOGICAL UNIVERSITY, BELAGAVI, INDIA	INTERNAT. J. INTEL. SYST. APPL. ENG.	C.M. RAKSHITHA; DEPARTMENT OF COMPUTER SCIENCE & ENGINEERING, VISVESVARAYA TECHNOLOGICAL UNIVERSITY, BELAGAVI, INDIA; EMAIL: PR80341@GMAIL.COM	NA	NA	NA	21476799	INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS AND APPLICATIONS IN ENGINEERING	ENGLISH	0	3	721 – 730	ISMAIL SARITAS	ISI	HYBRID SECURE ALGORITHMS AND OPTIMAL BLOCKCHAIN TO ENSURE EVOTING DATA IMMUTABILITY AT CLOUD	ARTICLE	11	2023	INTERNAT J INTEL SYST APPL ENG	none	VISVESVARAYA TECHNOLOGICAL UNIVERSITY	NOTREPORTED;VISVESVARAYA TECHNOLOGICAL UNIVERSITY;NOTREPORTED	NA	RAKSHITHA CM, 2023, INTERNAT J INTEL SYST APPL ENG	RAKSHITHA CM, 2023, INTERNAT J INTEL SYST APPL ENG
SU P;SU T	BLIND MULTI-DOCUMENT SIGNCRYPTION; BLOCKCHAIN; E-VOTING; SELF-CERTIFICATION	NA	DEPARTMENT OF INFORMATION MANAGEMENT, NATIONAL DEFENSE UNIVERSITY, TAIWAN	INT. ARAB J. OF INFO. TECH.	NA	10.34028/iajit/20/2/12	NA	NA	16833198	INTERNATIONAL ARAB JOURNAL OF INFORMATION TECHNOLOGY	ENGLISH	2	2	253 – 261	ZARKA PRIVATE UNIVERSITY	ISI	SECURE BLOCKCHAINBASED ELECTRONIC VOTING MECHANISM	ARTICLE	20	2023	INT ARAB J OF INFO TECH	none	NATIONAL DEFENSE UNIVERSITY	NATIONAL DEFENSE UNIVERSITY	NA	SU PC, 2023, INT ARAB J OF INFO TECH	SU PC, 2023, INT ARAB J OF INFO TECH
VAQUR M;KUMAR R;SINGH R;UMANG U;GEHLOT A;AKRAM S;JOSHI K	ARTIFICIAL INTELLIGENCE; BLOCKCHAIN; CLOUD COMPUTING; ELECTION VOTING; INDUSTRY 4.0; IOT	NA	UTTARANCHAL INSTITUTE OF TECHNOLOGY, UTTARANCHAL UNIVERSITY, DEHRADUN, 248007, INDIA; MEERUT INSTITUTE OF TECHNOLOGY, MEERUT, 250103, INDIA; DEPARTMENT OF PROJECT MANAGEMENT, UNIVERSIDAD INTERNACIONAL IBEROAMERICANA, CP, CAMPECHE, 24560, MEXICO; DEPARTMENT OF COMPUTER APPLICATIONS, D.S.B CAMPUS KUMAUN UNIVERSITY, NAINITAL, 263002, INDIA	INT. J. RECENT. INNOV. TREND. COMPUT. COMMUN.	S.V. AKRAM; UTTARANCHAL INSTITUTE OF TECHNOLOGY, UTTARANCHAL UNIVERSITY, DEHRADUN, 248007, INDIA; EMAIL: VASEEMAKRAM5491@GMAIL.COM	10.17762/ijritcc.v11i2.6136	NA	NA	23218169	INTERNATIONAL JOURNAL ON RECENT AND INNOVATION TRENDS IN COMPUTING AND COMMUNICATION	ENGLISH	5	2	123 – 130	AURICLE GLOBAL SOCIETY OF EDUCATION AND RESEARCH	ISI	ROLE OF DIGITALIZATION IN ELECTION VOTING THROUGH INDUSTRY 40 ENABLING TECHNOLOGIES	ARTICLE	11	2023	INT J RECENT INNOV TREND COMPUT COMMUN	none	UTTARANCHAL UNIVERSITY;MEERUT INSTITUTE OF TECHNOLOGY;UNIVERSIDAD INTERNACIONAL IBEROAMERICANA;D.S.B CAMPUS KUMAUN UNIVERSITY	NOTREPORTED;UTTARANCHAL UNIVERSITY;NOTREPORTED	NA	VAQUR M, 2023, INT J RECENT INNOV TREND COMPUT COMMUN	VAQUR M, 2023, INT J RECENT INNOV TREND COMPUT COMMUN
HUANG J;HE D;CHEN Y;KHAN M;LUO M	BLOCKCHAIN; BLOCKCHAINS; CRYPTOGRAPHY; E-VOTING; ELECTRONIC VOTING; HOMOMORPHIC ENCRYPTION; PRIVACY; PROPOSALS; PUBLIC KEY; SMART CONTRACTS; TECHNOLOGICAL INNOVATION; ZERO-KNOWLEDGE PROOF	BLOCKCHAIN; CRYPTOGRAPHY; DATA PRIVACY; ELECTRONIC VOTING; VOTING MACHINES; BLOCK-CHAIN; E-VOTING; ELECTRONIC VOTING; HO-MOMORPHIC ENCRYPTIONS; HOMOMORPHIC-ENCRYPTIONS; PRIVACY; PROPOSAL; PUBLIC KEYS; TECHNOLOGICAL INNOVATION; ZERO-KNOWLEDGE PROOFS; SMART CONTRACT	SCHOOL OF CYBER SCIENCE AND ENGINEERING, WUHAN UNIVERSITY, WUHAN, CHINA; WUHAN MARITIME COMMUNICATION RESEARCH INSTITUTE, WUHAN, CHINA; CENTER OF EXCELLENCE IN INFORMATION ASSURANCE (COEIA), KING SAUD UNIVERSITY, RIYADH, SAUDI ARABIA	IEEE TRANS. NETW. SCI. ENG.	NA	10.1109/TNSE.2022.3190909	NA	NA	23274697	IEEE TRANSACTIONS ON NETWORK SCIENCE AND ENGINEERING	ENGLISH	5	NA	1–13	IEEE COMPUTER SOCIETY	ISI	A BLOCKCHAINBASED SELFTALLYING VOTING PROTOCOL WITH MAXIMUM VOTER PRIVACY	ARTICLE	NA	2022	IEEE TRANS NETW SCI ENG	none	WUHAN UNIVERSITY;WUHAN MARITIME COMMUNICATION RESEARCH INSTITUTE;KING SAUD UNIVERSITY	WUHAN UNIVERSITY;WUHAN MARITIME COMMUNICATION RESEARCH INSTITUTE;KING SAUD UNIVERSITY	NA	HUANG J, 2022, IEEE TRANS NETW SCI ENG	HUANG J, 2022, IEEE TRANS NETW SCI ENG
ZHANG J;ZHANG B;NASTENKO A;BALOGUN H;OLIYNYKOV R	BLOCKCHAIN; BLOCKCHAINS; DECISION MAKING; DECISION MAKING; DISTRIBUTED BATCH KEY GENERATION; ELECTRONIC MAIL; ENCRYPTION; PROPOSALS; PUBLIC KEY; TWO-STAGE VOTING; ZERO KNOWLEDGE PROOF	BLOCKCHAIN; ELECTRONIC MAIL; PRIVACY-PRESERVING TECHNIQUES; BLOCK-CHAIN; DECISIONS MAKINGS; DISTRIBUTED BATCH KEY GENERATION; KEY GENERATION; PROPOSAL; PUBLIC KEYS; TWO-STAGE VOTING; ZERO-KNOWLEDGE PROOFS; DECISION MAKING	SCHOOL OF COMPUTING AND COMMUNICATION, LANCASTER UNIVERSITY, UNITED KINGDOM; INPUT OUTPUT HK AND COLLEGE OF COMPUTER SCIENCE AND TECHNOLOGY, ZHEJIANG UNIVERSITY, CHINA; INPUT OUTPUT HK, HONG KONG, HONG KONG; SCHOOL OF PSYCHOLOGY AND COMPUTER SCIENCE, UNIVERSITY OF CENTRAL LANCASHIRE, UNITED KINGDOM; INPUT OUTPUT HK, V. N. KARAZIN KHARKIV NATIONAL UNIVERSITY, UKRAINE	IEEE TRANS. DEPENDABLE SECURE COMPUT.	NA	10.1109/TDSC.2022.3231237	NA	NA	15455971	IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING	ENGLISH	0	NA	1–17	INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.	ISI	PRIVACYPRESERVING DECISIONMAKING OVER BLOCKCHAIN	ARTICLE	NA	2022	IEEE TRANS DEPENDABLE SECURE COMPUT	none	LANCASTER UNIVERSITY;ZHEJIANG UNIVERSITY;UNIVERSITY OF CENTRAL LANCASHIRE;V. N. KARAZIN KHARKIV NATIONAL UNIVERSITY	LANCASTER UNIVERSITY;ZHEJIANG UNIVERSITY;NOTREPORTED;UNIVERSITY OF CENTRAL LANCASHIRE;V. N. KARAZIN KHARKIV NATIONAL UNIVERSITY	NA	ZHANG J, 2022, IEEE TRANS DEPENDABLE SECURE COMPUT	ZHANG J, 2022, IEEE TRANS DEPENDABLE SECURE COMPUT
TOMA C;POPA M;BOJA C;CIUREA C;DOINEA M	BLOCKCHAIN; CYBER SECURITY; DECENTRALIZED APPLICATION; E-VOTED-APP; IOT—INTERNET OF THINGS; MOBILE-EMBEDDED; SECURE ELEMENT	NA	DEPARTMENT OF ECONOMIC INFORMATICS AND CYBERNETICS, BUCHAREST UNIVERSITY OF ECONOMIC STUDIES, BUCHAREST, 010552, ROMANIA	ELECTRONICS (SWITZERLAND)	C. TOMA; DEPARTMENT OF ECONOMIC INFORMATICS AND CYBERNETICS, BUCHAREST UNIVERSITY OF ECONOMIC STUDIES, BUCHAREST, 010552, ROMANIA; EMAIL: CRISTIAN.TOMA@IE.ASE.RO	10.3390/electronics11121895	NA	NA	20799292	ELECTRONICS (SWITZERLAND)	ENGLISH	5	12	NA	MDPI	ISI	SECURE AND ANONYMOUS VOTING DAPP WITH IOT EMBEDDED DEVICE USING BLOCKCHAIN TECHNOLOGY	ARTICLE	11	2022	ELECTRONICS (SWITZERLAND)	none	BUCHAREST UNIVERSITY OF ECONOMIC STUDIES	NOTREPORTED;BUCHAREST UNIVERSITY OF ECONOMIC STUDIES;NOTREPORTED	NA	TOMA C, 2022, ELECTRONICS (SWITZERLAND)	TOMA C, 2022, ELECTRONICS (SWITZERLAND)
LU Y;LI H;GAO L;YU J;YU Y;SU H	BLOCKCHAIN; E-VOTING; PUBLIC TRACEABILITY; SELF-TALLYING	DECISION MAKING; ELECTRONIC VOTING; BLOCK-CHAIN; CRITICAL COMPONENT; DISTRIBUTED DECISION MAKING; DISTRIBUTED-DECISION MAKINGS; E-VOTING; E-VOTING SYSTEMS; PUBLIC TRACEABILITY; REMOTE COLLABORATION; SELF-TALLYING; WORK ENVIRONMENTS; BLOCKCHAIN	FACULTY OF INTELLIGENT MANUFACTURING, WUYI UNIVERSITY, JIANG'MEN, 529020, CHINA; SCHOOL OF COMPUTER SCIENCE, SHAANXI NORMAL UNIVERSITY, XI'AN, 710062, CHINA	COMPUT STAND INTERFACES	H. LI; SCHOOL OF COMPUTER SCIENCE, SHAANXI NORMAL UNIVERSITY, XI'AN, 710062, CHINA; EMAIL: LIHUILIN@SNNU.EDU.CN	10.1016/j.csi.2023.103795	NA	NA	09205489	COMPUTER STANDARDS AND INTERFACES	ENGLISH	0	NA	NA	ELSEVIER B.V.	ISI	SELFTALLYING EVOTING WITH PUBLIC TRACEABILITY BASED ON BLOCKCHAIN	ARTICLE	88	2024	COMPUT STAND INTERFACES	none	WUYI UNIVERSITY;SHAANXI NORMAL UNIVERSITY	NOTREPORTED;SHAANXI NORMAL UNIVERSITY;NOTREPORTED	NA	LU Y, 2024, COMPUT STAND INTERFACES	LU Y, 2024, COMPUT STAND INTERFACES
BENABDALLAH A;AUDRAS A;COUDERT L;EL M N;BADRA M	AUTHENTICATION; BLOCKCHAIN; E-VOTING; PRIVACY; SECURITY; SMART-CONTRACTS; TRANSPARENCY	BLOCKCHAIN; DATA PRIVACY; DIGITAL STORAGE; ELECTRONIC VOTING; SCALABILITY; TRANSPARENCY; BLOCK-CHAIN; E-VOTING; ELECTRONIC VOTING; PRIVACY; REMOTE E-VOTING; RESISTANCE; SECURITY; SYSTEMATIC LITERATURE REVIEW; SMART CONTRACT	SORBONNE UNIVERSITÉ, LIP6, CNRS, PARIS, 75005, FRANCE; ÉCOLE POUR L'INFORMATIQUE ET LES TECHNIQUES AVANCEÉS (EPITA), LE KREMLIN-BICÊTRE, 94270, FRANCE; ZAYED UNIVERSITY, COLLEGE OF TECHNOLOGICAL INNOVATION, DUBAI, UNITED ARAB EMIRATES	IEEE ACCESS	N. EL MADHOUN; SORBONNE UNIVERSITÉ, LIP6, CNRS, PARIS, 75005, FRANCE; EMAIL: NOUR.EL-MADHOUN@ISEP.FR	10.1109/ACCESS.2022.3187688	NA	NA	21693536	IEEE ACCESS	ENGLISH	11	NA	70746 – 70759	INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.	ISI	ANALYSIS OF BLOCKCHAIN SOLUTIONS FOR EVOTING A SYSTEMATIC LITERATURE REVIEW	ARTICLE	10	2022	IEEE ACCESS	none	SORBONNE UNIVERSITÉ;ÉCOLE POUR L'INFORMATIQUE ET LES TECHNIQUES AVANCEÉS (EPITA);ZAYED UNIVERSITY	NOTREPORTED;SORBONNE UNIVERSITÉ;NOTREPORTED	NA	BENABDALLAH A, 2022, IEEE ACCESS	BENABDALLAH A, 2022, IEEE ACCESS
