label	replace by
block-chain	blockchain
blockchain technology	blockchain
blockchain security	blockchain
blockchains	blockchain
blockchain;	blockchain
electronic voting systems	electronic voting
online systems	electronic voting
electronic voting system	electronic voting
electronic voting scheme	electronic voting
voting machines	electronic voting
voting systems	electronic voting
voting system	electronic voting
e-voting systems	electronic voting
e-voting system	electronic voting
e-voting	electronic voting
blockchain voting	electronic voting
internet voting	electronic voting
online voting	electronic voting
digital voting	electronic voting
voting	electronic voting
consensus algorithms	consensus
consensus algorithm	consensus
consensus protocol	consensus
consensus mechanism	consensus
decentralised	decentralisation
decentralization	decentralisation
decentralized systems	decentralisation
decentralized system	decentralisation
smart contracts	smart contract
data privacy	privacy
privacy by design	privacy
privacy protection	privacy
privacy-preserving techniques	privacy
secure multi-party computation	protocols
zero-knowledge proofs	protocols
zero-knowledge proof	protocols
zero knowledge proof	protocols
zero knowledge	protocols
consensus protocols	protocols
e-voting protocols	protocols
security protocols	protocols
network protocols	protocols
voting protocols	protocols
internet protocols	protocols
cryptographic protocols	protocols
internet voting protocol	protocols
electronic voting protocols	protocols
protocol	protocols
ho-momorphic encryptions	cryptography
homomorphic-encryptions	cryptography
homomorphic encryption	cryptography
homomorphic	cryptography
quantum cryptography	cryptography
public key cryptography	cryptography
cryptographic primitives	cryptography
digital signature	cryptography
blind signatures	cryptography
blind signature	cryptography
ring signatures	cryptography
ring signature	cryptography
encryption	cryptography
deniable authentication	authentication
verification	authentication
verifiability	authentication
system	systems
algorithm	algorithms
security of data	security
secure electronic voting	security
network security	security
information security	security
secure	security
cybersecurity cyber	security
security properties	security
security requirements	security
wireless sensor networks	networks
computer networks	networks
internet of things	networks
internet of things (iot)	networks
iot	networks
cloud computing	calculations
na	
efficiency	
digital storage	
decision making	
